"Order Id","Order Name","Client Name","Mobile #","Client Company","E-mail","Client Charge","Discount","Service Tax","Amount","Client Paid","Remain Amount",
"1","photography","divyesh","9724783505","r&d cmp","divyesh@gmail.com","50000","2000","4800","52800","25000","27800",
"3","update_cheking","divyesh","9724783505","rnd cmp","divyesh@gmail.com","25000","","","25000","5000","20000",
"4","testing","Divyesh","9724783505","rana dc","divyesh@gmail.com","25000","","","25000","10000","15000",
"5","testing order","Divyesh","9724783505","C D Aquaria","div@gmail.com","25000","","2500","27500","15000","12500",
"6","Testing Detail","Rakesh Limbachya","9724783505","DR Company","divyesh@gmail.com","100000","","","100000","25000","75000",
"10","testmulti124","raj","7898776655","raj","raj@gmail.com","122750","5000","","122750","25000","97750",
"11","test data","sd","","ad","","80250","5000","7525","80250","25000","55250",
"12","yesyy","","7898776655","dsd","","100375","375","10000","110000","25000","85000",
"13","merrage","Rana Divyesh","9724783505","R d industry","divyesh@gmail.com","12700","200","1500","14000","","14000",
"14","merrage","Rana Divyesh","9724783505","R d industry","divyesh@gmail.com","12700","200","1500","14000","","14000",
"15","mearrage","Rana Divyesh","9724783505","DR Company","raj@gmail.com","15900","400","1860","17360","","17360",
"17","","Divyesh","9724783505","","","3500","","","3500","","3500",
